"poly_id","operacion","tipo","latitud","longitud","m2total","preciousd","barrio","comuna","lnprecio","lnm2total","residuos","dist_subte","dist_tren","dist_obe","count_delitos","Residuos_Ej_4"
1825,"VTA","TERRENO",-34.5952679,-58.4203755,190,500000,"PALERMO",14,13.1223633774043,5.24702407216049,-0.527644634726367,877.693103884331,1821.53054929912,3674.93352215685,955,-0.535420782554198
1826,"VTA","TERRENO",-34.6110583,-58.4201892,348,690000,"ALMAGRO",5,13.4444468765734,5.85220247977447,-0.230090210528525,168.792284707454,1072.24642805641,3638.21315005414,848,-0.296102083124828
1827,"VTA","TERRENO",-34.63099,-58.4201892,505,700000,"BOEDO",5,13.4588356140255,6.22455842927536,-0.0128590453667101,748.771968449482,1899.8986008763,4670.42465610323,383,0.0774868940885379
1828,"VTA","TERRENO",-34.63099,-58.420189,350,325000,"BOEDO",5,12.6915804613119,5.85793315448346,-0.5648652028257,748.78679149211,1899.89839415482,4670.41075030728,383,-0.47730346276916
1829,"VTA","TERRENO",-34.6148246,-58.4201588,1847,1000000,"ALMAGRO",5,13.8155105579643,7.52131798019924,-0.8389792468939,371.347921540921,1241.66289031887,3753.42200368874,650,-0.784559770316341
1830,"VTA","TERRENO",-34.6211179,-58.420022,400,1500000,"ALMAGRO",5,14.2209756660724,5.99146454710798,0.464676567097064,625.758648206418,1720.37333712587,4029.21461746507,445,0.658240100022791
1831,"VTA","TERRENO",-34.595501,-58.420002,303,870000,"PALERMO",14,13.6762484906308,5.71373280550937,-0.247768415150131,854.734456787836,1780.64857257726,3635.33518509709,969,-0.264579118764394
1832,"ALQ","TERRENO",-34.5955003,-58.4200006,303,999000,"PALERMO",14,13.8145100576307,5.71373280550937,-0.109506848150208,854.824942484993,1780.63853235762,3635.22973714189,969,-0.126306169459581
1833,"VTA","TERRENO",-34.5945558,-58.419968,383,1190000,"PALERMO",14,13.9894638650877,5.94803498918065,-0.072113959399201,959.382441994741,1787.9798953519,3659.4726394683,869,-0.0403018750466593
1834,"VTA","TERRENO",-34.6105194,-58.419899,652,730000,"ALMAGRO",5,13.5007998131246,6.48004456192665,-0.542349005502365,223.958088432116,1032.84757633679,3598.98073764291,866,-0.603876552298201
1835,"VTA","TERRENO",-34.6050724,-58.4197275,672,790000,"ALMAGRO",5,13.5797882244432,6.51025834052315,-0.481099375257775,240.018283534037,1072.24318756001,3503.14230186668,1224,-0.638197796010292
