poly_id,operacion,tipo,latitud,longitud,m2total,preciousd,barrio,comuna,lnprecio,lnm2total,residuos,dist_subte,dist_tren,dist_obe,count_delitos,Residuos_Ej_4,Outliers_LH
"1299",VTA,TERRENO,-34.608221999999998,-58.447685100000001,500.000000000000000,"1550000",CABALLITO,"6",14.253765488895400,6.214608098422190,0.447874964358359,1257.343998299970053,1277.451194505739977,6085.546348061699973,"411",0.592832562500868,"0"
"1300",VTA,TERRENO,-34.608285100000003,-58.447624800000000,433.000000000000000,"1300000",CABALLITO,"6",14.077874822431800,6.070737728002490,0.356451885944474,1259.895280111350075,1269.154005480710111,6080.635872909499994,"410",0.500142715943273,"0"
"1301",VTA,TERRENO,-34.597175900000003,-58.447602799999999,1052.000000000000000,"5000000",VILLA CRESPO,"15",15.424948470398400,6.958448393297660,1.105848942441290,605.451202056289048,2474.783170788899952,6097.109936394260330,"447",1.201148245616880,"0"
"1302",VTA,TERRENO,-34.570577800000002,-58.447598700000000,266.000000000000000,"1200000",COLEGIALES,"13",13.997832114758200,5.583496308781700,0.324856588382270,276.135651245564020,272.578099552752008,7074.700301571589989,"584",0.191314303642372,"0"
"1303",VTA,TERRENO,-34.630206000000001,-58.447570300000002,166.000000000000000,"700000",PARQUE CHACABUCO,"7",13.458835614025499,5.111987788356540,0.661465739119336,503.731271279381986,1268.004044664839967,6736.456171188169719,"606",0.569741602763536,"0"
"1304",VTA,TERRENO,-34.567689199999997,-58.447493700000003,208.000000000000000,"1500000",PALERMO,"14",14.220975666072400,5.337538079701320,0.517826066279253,365.571442697660018,590.449229346727975,7237.532226944110334,"546",0.531438497636385,"0"
"1305",VTA,TERRENO,-34.555102499999997,-58.447478400000001,391.000000000000000,"2400000",BELGRANO,"13",14.690979295318201,5.968707559985370,0.499365831055583,1150.210112727249907,431.847700368322990,8088.556733777320005,"497",0.557167157707185,"0"
"1306",VTA,TERRENO,-34.573989599999997,-58.447414400000000,340.000000000000000,"2200000",COLEGIALES,"13",14.603967918328500,5.828945617610210,0.786886895840024,508.105625862947988,136.379023300103000,6871.758289396189866,"486",0.703670825647295,"0"
"1307",VTA,TERRENO,-34.573463500000003,-58.447373800000001,143.000000000000000,"890000",COLEGIALES,"13",13.698976741708300,4.962844630259910,0.390391396235124,456.304999053611994,97.210607378048095,6896.542394423249789,"563",0.267685559591105,"0"
"1308",VTA,TERRENO,-34.595540700000001,-58.447278599999997,182.000000000000000,"450000",VILLA CRESPO,"15",13.017002861746500,5.204006687076800,-0.272048165841108,424.906819960292978,2455.362086209439894,6091.387808866689738,"507",-0.239258591885023,"0"
"1309",VTA,TERRENO,-34.639181000000001,-58.447209999999998,119.000000000000000,"288000",PARQUE CHACABUCO,"7",12.570715759118100,4.779123493111530,-0.031226495179276,418.403461669973979,2145.791553855040092,7201.371917277229841,"506",-0.020355375445518,"0"
"1310",VTA,TERRENO,-34.577681300000002,-58.447189000000002,376.000000000000000,"680000",COLEGIALES,"13",13.429848077152300,5.929589143389890,-0.446321664233918,881.627877149747974,531.176688309353040,6667.324961151920434,"451",-0.426424653697991,"0"
"1311",VTA,TERRENO,-34.553443000000001,-58.447105499999999,380.000000000000000,"830000",BELGRANO,"13",13.629180979772800,5.940171252720430,-0.545678561917117,1307.289276451810110,617.939296794996039,8186.878844615739581,"371",-0.407031380436102,"0"
"1312",VTA,TERRENO,-34.591982000000002,-58.447093000000002,405.000000000000000,"1800000",CHACARITA,"15",14.403297222866399,6.003887067106540,0.706055385357985,52.881961530873397,2100.124843903210149,6144.733699820760194,"466",0.673585880734614,"0"
"1313",VTA,TERRENO,-34.597434000000000,-58.447077499999999,167.000000000000000,"360000",VILLA CRESPO,"15",12.793859310432300,5.117993812416760,-0.444692785078011,635.704732513420026,2439.792498701439854,6045.968860668769594,"484",-0.373117795736732,"0"
"1314",VTA,TERRENO,-34.603831000000000,-58.447070199999999,266.000000000000000,"475000",VILLA CRESPO,"15",13.071070083016799,5.583496308781700,-0.440782713564864,859.844539637869957,1738.340714845420052,6007.147539395459717,"426",-0.375257720485400,"0"
"1315",VTA,TERRENO,-34.575507000000002,-58.447034199999997,314.000000000000000,"650000",COLEGIALES,"13",13.384727641871800,5.749392985908250,-0.385647315265831,647.052643641813006,302.368412331972991,6762.039128514000367,"461",-0.427351469528730,"0"
"1316",VTA,TERRENO,-34.553331600000000,-58.446948999999996,380.000000000000000,"830000",BELGRANO,"13",13.629180979772800,5.940171252720430,-0.545678561917117,1326.051622273249905,633.836436585532056,8184.746447026300302,"364",-0.400550488300050,"0"
"1317",VTA,TERRENO,-34.633157799999999,-58.446948499999998,1788.000000000000000,"1250000",PARQUE CHACABUCO,"7",14.038654109278500,7.488852955733460,-0.154194676415091,470.867778369505004,1572.807865551350005,6836.405085690559645,"487",-0.170334287553594,"0"
"1318",VTA,TERRENO,-34.602086499999999,-58.446829600000001,416.000000000000000,"500000",VILLA CRESPO,"15",13.122363377404300,6.030685260261260,-0.652038073384542,734.099069626671962,1925.544060581019949,5987.210473012630246,"436",-0.591111797110478,"0"
"1319",VTA,TERRENO,-34.576629599999997,-58.446819300000001,530.000000000000000,"695000",COLEGIALES,"13",13.451667124546900,6.272877006546170,-0.626050007889868,760.149842101645049,426.267036822691011,6688.003493006150165,"423",-0.625155545363488,"0"
"1320",VTA,TERRENO,-34.617882999999999,-58.446804999999998,232.000000000000000,"890000",CABALLITO,"6",13.698976741708300,5.446737371666310,0.343910024977463,587.049613022433959,326.198182842771018,6190.332211031920451,"311",0.315184387056936,"0"
"1321",VTA,TERRENO,-34.617905700000001,-58.446683800000002,232.000000000000000,"595000",CABALLITO,"6",13.296316684527801,5.446737371666310,-0.058750032203094,576.086148793193047,315.193348974123978,6180.238572893010314,"315",-0.091721920610944,"0"
"1322",VTA,TERRENO,-34.607639499999998,-58.446683299999997,433.000000000000000,"1500000",VILLA CRESPO,"15",14.220975666072400,6.070737728002490,0.423059051350415,1152.150170276529934,1317.024463986130058,5988.760981766989971,"459",0.494630341276168,"0"
"1323",VTA,TERRENO,-34.589677199999997,-58.446644399999997,247.000000000000000,"850000",CHACARITA,"15",13.652991628466500,5.509388336627980,0.246074441790307,241.909026756471008,1858.737107748499966,6163.327208671579683,"488",0.214841276559851,"0"
"1324",VTA,TERRENO,-34.587398000000000,-58.446632999999999,348.000000000000000,"610000",CHACARITA,"15",13.321214236149499,5.852202479774470,-0.286972216300205,486.946486250093017,1606.918834850039957,6230.283725168879755,"494",-0.296181295983103,"0"
"1325",VTA,TERRENO,-34.592621999999999,-58.446525999999999,476.000000000000000,"990000",CHACARITA,"15",13.805460222110799,6.165417854231420,0.013382207115520,138.854964718064991,2136.136013452320185,6079.316348526190268,"476",-0.004737924220606,"0"
"1326",VTA,TERRENO,-34.602682399999999,-58.446512400000003,416.000000000000000,"850000",VILLA CRESPO,"15",13.652991628466500,6.030685260261260,-0.121409822322372,743.091947397339027,1855.891844043140054,5956.686713939089714,"432",-0.064953529921142,"0"
"1327",VTA,TERRENO,-34.583930799999997,-58.446431199999999,476.000000000000000,"1700000",CHACARITA,"15",14.346138809026399,6.165417854231420,0.554060794031191,868.113071429241018,1226.843639090830038,6334.222152527750040,"490",0.582166974754028,"0"
"1328",VTA,TERRENO,-34.598350199999999,-58.446311000000001,346.000000000000000,"580000",VILLA CRESPO,"15",13.270783382522600,5.846438775057720,-0.395445300194623,603.773508641041985,2330.636582242670102,5965.415650862490111,"515",-0.344438159534086,"0"
"1329",VTA,TERRENO,-34.609776599999996,-58.446272200000003,295.000000000000000,"420000",CABALLITO,"6",12.948009990259600,5.686975356339820,-0.548102607316084,1268.274425044030068,1077.411683112909941,5973.901382359409581,"415",-0.427515014354587,"0"
"1330",VTA,TERRENO,-34.603819299999998,-58.446252700000002,1827.000000000000000,"1200000",VILLA CRESPO,"15",13.997832114758200,7.510430556378010,-0.645341104160252,801.965022298031045,1727.680538781080031,5932.155957461010075,"427",-0.578414454373031,"0"
"1331",VTA,TERRENO,-34.592496400000002,-58.446220400000001,286.000000000000000,"980000",VILLA CRESPO,"15",13.795307850646800,5.655991810819850,0.240892292992370,151.171667659395013,2110.578650802140146,6054.654236515109915,"473",0.208250084749674,"0"
"1332",VTA,TERRENO,-34.603740700000003,-58.446193700000002,658.000000000000000,"900000",VILLA CRESPO,"15",13.710150042306401,6.489204931325320,-0.333452430035186,792.106255070206998,1735.581783959770064,5926.707123465050245,"429",-0.275968991735999,"0"
"1333",VTA,TERRENO,-34.598417599999998,-58.446026000000003,391.000000000000000,"920000",VILLA CRESPO,"15",13.732128949025199,5.968707559985370,-0.005884836673851,576.967818460293984,2320.602507040369801,5938.673339048150410,"550",0.030123114386282,"0"
"1334",VTA,TERRENO,-34.614633099999999,-58.445942799999997,164.000000000000000,"290000",CABALLITO,"6",12.577636201962701,5.099866427824200,-0.573779464830538,775.239560512672028,552.982751723096044,6030.261044717960431,"321",-0.560416466381154,"0"
"1335",VTA,TERRENO,-34.593179599999999,-58.445920800000003,442.000000000000000,"1050000",VILLA CRESPO,"15",13.864300722133700,6.091309882077700,0.054306010784474,221.945802717238990,2165.370011925379913,6012.778214093150382,"512",0.029838115022713,"0"
"1336",VTA,TERRENO,-34.620927799999997,-58.445873599999999,5000.000000000000000,"3000000",CABALLITO,"6",14.914122846632401,8.517193191416240,-0.243636089150170,384.684145148490018,276.376935423914006,6204.307544381729713,"623",-0.373900313956223,"0"
"1337",VTA,TERRENO,-34.597171799999998,-58.445872700000002,228.000000000000000,"700000",VILLA CRESPO,"15",13.458835614025499,5.429345628954440,0.037486067579823,594.065951894140994,2457.022374485490218,5939.556889181490078,"558",0.082274966522510,"0"
"1338",VTA,TERRENO,-34.593349000000003,-58.445842700000000,213.000000000000000,"1100000",VILLA CRESPO,"15",13.910820737768599,5.361292165709430,0.529425991480631,240.685828712272013,2179.050115790600103,6002.173808669949722,"512",0.503501460338417,"0"
"1339",VTA,TERRENO,-34.590008599999997,-58.445758200000000,169.000000000000000,"375000",CHACARITA,"15",12.834681304952500,5.129898714923070,-0.349434112729612,252.363688083611009,1849.384280149969982,6075.440121038440338,"448",-0.374090072705609,"0"
"1340",VTA,TERRENO,-34.573140000000002,-58.445742000000003,229.000000000000000,"930000",COLEGIALES,"13",13.742939865129401,5.433722003554240,0.157898180012725,360.684661083212006,231.138236468365989,6783.680184137970173,"592",0.023152741479641,"0"
"1341",VTA,TERRENO,-34.557254000000000,-58.445596999999999,216.000000000000000,"720000",BELGRANO,"13",13.487006490992201,5.375278407684170,-0.356199382276601,1146.169588229799956,351.935447477544983,7801.184503059779672,"499",-0.319671540736284,"0"
"1342",VTA,TERRENO,-34.615219300000000,-58.445571800000003,500.000000000000000,"290000",CABALLITO,"6",12.577636201962701,6.214608098422190,-1.228254322574410,702.398487435535003,479.950393197742017,6010.619655944689839,"329",-1.228089389613270,"0"
