POLY_ID,OPERACION,TIPO,LATITUD,LONGITUD,M2TOTAL,PRECIOUSD,BARRIO,COMUNA,Distance,Distancia_tren,Distancia_obelisco,NUMPOINTS
"1869",VTA,TERRENO,-34.637290000000000,-58.416826999999998,167.000000000000000,"230000",BOEDO,"5",600.578389106726945,1234.673659721159993,7550242.564605389721692,"426"
"1870",VTA,TERRENO,-34.595592500000002,-58.416805300000000,577.000000000000000,"2350000",PALERMO,"14",922.536190609602045,1621.176132512320009,7552817.365798209793866,"952"
"1871",VTA,TERRENO,-34.592391999999997,-58.416575000000002,382.000000000000000,"1100000",PALERMO,"14",668.711749381770005,1727.303866095420062,7553032.461595320142806,"734"
"1872",VTA,TERRENO,-34.611066999999998,-58.416522999999998,381.000000000000000,"1900000",ALMAGRO,"5",126.671710984380994,751.625160470279980,7551883.844007600098848,"871"
"1873",VTA,TERRENO,-34.619502500000003,-58.416507299999999,646.000000000000000,"2200000",ALMAGRO,"5",656.581383150695046,1393.000984281710089,7551364.480166500434279,"519"
"1874",VTA,TERRENO,-34.647905999999999,-58.416490000000003,560.000000000000000,"600000",NUEVA POMPEYA,"4",826.880661817471037,318.555172097961986,7549613.277549459598958,"496"
"1875",VTA,TERRENO,-34.592537000000000,-58.416409000000002,382.000000000000000,"1400000",PALERMO,"14",669.131488855794032,1749.226703711110076,7553036.165471860207617,"741"
"1876",VTA,TERRENO,-34.642315799999999,-58.416320499999998,347.000000000000000,"430000",NUEVA POMPEYA,"4",379.038264628080015,724.552359494673965,7549971.079163149930537,"380"
"1877",VTA,TERRENO,-34.617057099999997,-58.416276900000000,422.000000000000000,"935000",ALMAGRO,"5",703.310068690620028,1153.985512925949934,7551532.942783730104566,"599"
"1878",VTA,TERRENO,-34.613898100000000,-58.416227700000000,1400.000000000000000,"1280000",ALMAGRO,"5",358.680246251968015,891.461945253677982,7551731.636657680384815,"761"
"1879",VTA,TERRENO,-34.607279400000003,-58.416126800000001,404.000000000000000,"1000000",ALMAGRO,"5",397.994069328723015,682.962845159972971,7552147.789175690151751,"1174"
"1880",VTA,TERRENO,-34.643304800000003,-58.416080200000003,36.000000000000000,"69000",NUEVA POMPEYA,"4",407.155030709942025,641.100303929785014,7549928.371511200442910,"402"
"1881",VTA,TERRENO,-34.599259699999998,-58.416075599999999,407.000000000000000,"1320000",ALMAGRO,"5",623.393971142425016,1233.768689283120011,7552646.646038750186563,"1193"
"1882",VTA,TERRENO,-34.601589699999998,-58.416071199999998,455.000000000000000,"700000",ALMAGRO,"5",481.491956032691974,1024.678998109729946,7552503.176496519707143,"1762"
"1883",VTA,TERRENO,-34.613831200000000,-58.415993100000001,213.000000000000000,"580000",ALMAGRO,"5",346.302690630767017,870.362098620222014,7551753.644918089732528,"763"
"1884",VTA,TERRENO,-34.633804300000001,-58.415931700000002,150.000000000000000,"260000",BOEDO,"5",889.641415631483028,1629.878338583349887,7550525.854539389722049,"367"
"1885",VTA,TERRENO,-34.626756000000000,-58.415849999999999,206.000000000000000,"700000",BOEDO,"5",156.905586547389987,2108.217115071349781,7550966.982162590138614,"522"
"1886",VTA,TERRENO,-34.611210000000000,-58.415849000000001,273.000000000000000,"1120000",ALMAGRO,"5",77.191715408455906,700.505560361398011,7551926.388259449973702,"846"
"1887",VTA,TERRENO,-34.615182799999999,-58.415741300000001,5747.000000000000000,"1300000",ALMAGRO,"5",490.882449697667028,960.585294355356041,7551689.426180710084736,"679"
"1888",VTA,TERRENO,-34.615046300000003,-58.415709800000002,1382.000000000000000,"1280000",ALMAGRO,"5",475.523712014316004,947.296470655322992,7551700.250471469946206,"694"
"1889",VTA,TERRENO,-34.646510700000000,-58.415626400000001,98.000000000000000,"85000",NUEVA POMPEYA,"4",653.020840037876951,434.974105701810004,7549765.159633249975741,"426"
"1890",VTA,TERRENO,-34.604016000000001,-58.415497000000002,215.000000000000000,"1100000",ALMAGRO,"5",342.613039507251983,796.227100433354963,7552397.196468410082161,"1671"
"1891",VTA,TERRENO,-34.615448000000001,-58.415425999999997,4520.000000000000000,"3000000",ALMAGRO,"5",518.118986333720954,964.678989525069028,7551697.090225550346076,"632"
"1892",VTA,TERRENO,-34.627953400000003,-58.415212699999998,672.000000000000000,"590000",BOEDO,"5",288.515502486677974,2219.097661359419817,7550941.662398629821837,"508"
"1893",VTA,TERRENO,-34.642198000000000,-58.415160000000000,234.000000000000000,"350000",NUEVA POMPEYA,"4",274.493391791505985,790.060879872704959,7550066.772736149840057,"399"
"1894",VTA,TERRENO,-34.628727599999998,-58.415144800000000,806.000000000000000,"390000",BOEDO,"5",374.596873494969998,2195.517888337779823,7550899.065028970129788,"471"
"1895",VTA,TERRENO,-34.606923000000002,-58.415089999999999,211.000000000000000,"750000",ALMAGRO,"5",428.147752295353996,602.020116857784046,7552248.807168040424585,"1364"
"1896",VTA,TERRENO,-34.622770400000000,-58.414992400000003,309.000000000000000,"750000",BOEDO,"5",292.184818875115013,1664.143312152260023,7551278.273780610412359,"558"
"1897",VTA,TERRENO,-34.637258799999998,-58.414989499999997,577.000000000000000,"387000",BOEDO,"5",504.895710436587024,1287.543799998680015,7550384.505874330177903,"425"
"1898",VTA,TERRENO,-34.645546199999998,-58.414933300000001,375.000000000000000,"280000",NUEVA POMPEYA,"4",528.888007129546963,541.497854065986985,7549877.474395059980452,"423"
"1899",VTA,TERRENO,-34.614260399999999,-58.414912600000001,780.000000000000000,"270000",ALMAGRO,"5",386.717477094140975,833.558272872164025,7551809.506745359860361,"739"
"1900",VTA,TERRENO,-34.621747999999997,-58.414879399999997,2794.000000000000000,"600000",BOEDO,"5",405.818086013390996,1554.146406639380075,7551349.975497850216925,"546"
"1901",VTA,TERRENO,-34.602744299999998,-58.414867399999999,289.000000000000000,"690000",ALMAGRO,"5",321.008067298603976,855.579948333230050,7552523.671064649708569,"1756"
"1902",VTA,TERRENO,-34.594061600000003,-58.414834900000002,308.000000000000000,"930000",PALERMO,"14",723.194769332453006,1708.363218618429983,7553062.050404929555953,"854"
"1903",VTA,TERRENO,-34.628232799999999,-58.414678899999998,811.000000000000000,"590000",BOEDO,"5",327.511864361275002,2236.855542224589954,7550965.100104579702020,"525"
"1904",VTA,TERRENO,-34.599063299999997,-58.414646500000003,400.000000000000000,"830000",ALMAGRO,"5",616.143649959643994,1188.231600180120040,7552767.697460509836674,"1207"
"1905",VTA,TERRENO,-34.626800699999997,-58.414602199999997,448.000000000000000,"360000",BOEDO,"5",180.582017492227010,2081.119014572279866,7551059.313200269825757,"551"
"1906",VTA,TERRENO,-34.608105999999999,-58.414531699999998,950.000000000000000,"2400000",ALMAGRO,"5",302.824169956163018,523.013990771039971,7552218.349387830123305,"1121"
"1907",VTA,TERRENO,-34.645694100000000,-58.414529100000003,559.000000000000000,"600000",NUEVA POMPEYA,"4",528.791158702110010,565.361401509275993,7549899.147143240086734,"438"
"1908",VTA,TERRENO,-34.596943099999997,-58.414473600000001,268.000000000000000,"1600000",RECOLETA,"2",829.805111270237944,1396.746893160119953,7552911.737415299750865,"1026"
"1909",VTA,TERRENO,-34.599316000000002,-58.414299499999998,150.000000000000000,"315000",ALMAGRO,"5",577.401920380850015,1149.054406346120004,7552778.549801490269601,"1232"
"1910",VTA,TERRENO,-34.603214000000001,-58.414256000000002,216.000000000000000,"950000",ALMAGRO,"5",248.046598073815005,779.667999149785032,7552541.282782100141048,"1761"
"1911",VTA,TERRENO,-34.620581999999999,-58.414147999999997,196.000000000000000,"600000",ALMAGRO,"5",545.701166300706973,1409.515247449689923,7551477.666999960318208,"533"
"1912",VTA,TERRENO,-34.596876000000002,-58.414144000000000,207.000000000000000,"1500000",RECOLETA,"2",828.429011364004964,1392.878650196309991,7552941.002232589758933,"1061"
