InputID,TargetID,Distance
"389",Obelisco,11543.3218292959
"390",Obelisco,11451.103024069
"391",Obelisco,10264.5170679535
"392",Obelisco,10172.7075168381
"393",Obelisco,11773.9542378739
"394",Obelisco,10479.4983623767
"395",Obelisco,10132.139236675
"396",Obelisco,10717.0691187346
"397",Obelisco,10123.8833740942
"398",Obelisco,10118.0373512277
"399",Obelisco,11143.1696371998
"400",Obelisco,10784.8937538422
"401",Obelisco,10392.2092430278
"402",Obelisco,11501.7593172021
"403",Obelisco,10625.5390957447
"404",Obelisco,10103.0888082028
"405",Obelisco,10774.9143028136
"406",Obelisco,10097.0207610448
"407",Obelisco,11465.8608142693
"408",Obelisco,11465.8390350413
"409",Obelisco,11048.9413795966
"410",Obelisco,11476.4383025428
"411",Obelisco,10571.2559590171
"412",Obelisco,11345.9579502292
"413",Obelisco,10397.4931137851
"414",Obelisco,10757.3615914113
"415",Obelisco,12241.3186315164
"416",Obelisco,10869.5028101194
"417",Obelisco,10067.6956846597
"418",Obelisco,10739.717167732
"419",Obelisco,10272.5999637092
"420",Obelisco,10938.92225573
"421",Obelisco,10600.23851953
"422",Obelisco,11092.9294322599
"423",Obelisco,10646.5344534191
"424",Obelisco,10305.7828793691
"425",Obelisco,10300.3238402955
"426",Obelisco,10346.2474868945
"427",Obelisco,9990.06445612411
"428",Obelisco,10000.2474633321
"429",Obelisco,10055.6695712543
"430",Obelisco,10609.669670115
"431",Obelisco,10341.0600303448
"432",Obelisco,9968.23903943137
"433",Obelisco,10591.3622524431
"434",Obelisco,10593.3439230276
"435",Obelisco,11564.9352983166
"436",Obelisco,10807.2890097219
"437",Obelisco,10224.2943684745
"438",Obelisco,9937.91578634145
"439",Obelisco,11580.411649486
"440",Obelisco,10837.3243542422
"441",Obelisco,11059.2161509261
"442",Obelisco,11241.6423968284
"443",Obelisco,10094.7031909963
"444",Obelisco,9886.18406413485
"445",Obelisco,10648.8056294048
"446",Obelisco,10494.0726929971
"447",Obelisco,10177.5147996427
"448",Obelisco,11534.9527468181
"449",Obelisco,10562.671836706
"450",Obelisco,10735.8669518253
"451",Obelisco,10152.888950142
"452",Obelisco,11323.2767439243
"453",Obelisco,10473.251214576
"454",Obelisco,9828.0870646564
"455",Obelisco,10473.1898868682
"456",Obelisco,11420.7451185224
"457",Obelisco,10090.2320416468
"458",Obelisco,11415.970054832
"459",Obelisco,10594.5965480022
"460",Obelisco,9809.75384209172
