POLY_ID,OPERACION,TIPO,LATITUD,LONGITUD,M2TOTAL,PRECIOUSD,BARRIO,COMUNA,Distance,Distancia_tren,Distancia_obelisco,NUMPOINTS,Distancia_obelisco(correcta)
"523",VTA,TERRENO,-34.546667900000003,-58.484762300000000,157.000000000000000,"330000",SAAVEDRA,"12",2282.956706081170069,848.231318445165016,7550654.817805649712682,"259",11376.892916048700499
"524",VTA,TERRENO,-34.657137400000003,-58.484695899999998,335.000000000000000,"230000",MATADEROS,"9",2610.585995253280089,2328.175161300810032,7543846.570259939879179,"191",11169.614293097800328
"525",VTA,TERRENO,-34.627894300000001,-58.484534300000000,224.000000000000000,"395000",FLORESTA,"10",1401.000952908580075,598.928913307419975,7545661.851281950250268,"460",9821.182905854719138
"526",VTA,TERRENO,-34.608292300000002,-58.484433199999998,370.000000000000000,"1400000",VILLA DEL PARQUE,"11",2832.592764801579960,1134.092762901480000,7546878.364131519570947,"358",9448.713782435790563
"527",VTA,TERRENO,-34.628247000000002,-58.484411000000001,469.000000000000000,"450000",FLORESTA,"10",1381.720844221820016,560.285322043174006,7545649.501988650299609,"469",9821.141577757580308
"528",VTA,TERRENO,-34.628246500000003,-58.484410900000000,352.000000000000000,"750000",FLORESTA,"10",1381.722815604400012,560.325381834167047,7545649.540442509576678,"469",9821.117316207190015
"529",VTA,TERRENO,-34.559401999999999,-58.484330200000002,129.000000000000000,"1500000",SAAVEDRA,"12",1665.485307853299901,642.120326413437965,7549902.055136719718575,"243",10622.775294395300079
"530",VTA,TERRENO,-34.646616799999997,-58.484214600000001,0.000000000000000,"650000",PARQUE AVELLANEDA,"9",2100.810387720399831,1608.959641791610011,7544531.840920089744031,"186",10555.628793524199864
"531",VTA,TERRENO,-34.624649200000000,-58.484205899999999,972.000000000000000,"2300000",FLORESTA,"10",1495.250104763970057,909.404251641896053,7545886.988126399926841,"353",9699.242030177330889
"532",VTA,TERRENO,-34.549595300000000,-58.484047799999999,1563.000000000000000,"5000000",SAAVEDRA,"12",2098.925698355340046,568.669868847816019,7550528.683245739899576,"228",11144.579224670800613
"533",VTA,TERRENO,-34.560098300000000,-58.484027200000000,731.000000000000000,"1680000",VILLA URQUIZA,"12",1592.303748773319967,724.102485288487969,7549882.204115999862552,"239",10562.615855536099843
"534",VTA,TERRENO,-34.559254600000003,-58.484016900000000,753.000000000000000,"2126000",SAAVEDRA,"12",1685.198970868020069,639.145229728712025,7549935.045050660148263,"249",10604.844720022800175
"535",VTA,TERRENO,-34.628939799999998,-58.484016500000003,450.000000000000000,"800000",FLORESTA,"10",1332.819315576279905,476.850470133445981,7545636.854425899684429,"516",9808.172329530920251
"536",VTA,TERRENO,-34.622297000000003,-58.483927000000001,1149.000000000000000,"1745000",VILLA SANTA RITA,"11",1608.401503898789997,1152.180010985179933,7546053.296983200125396,"319",9614.711576744090053
"537",VTA,TERRENO,-34.586002399999998,-58.483894399999997,225.000000000000000,"260000",PARQUE CHAS,"15",947.809860346667051,1303.723122358790079,7548294.261074000038207,"154",9585.218897625189129
"538",VTA,TERRENO,-34.570867000000000,-58.483879000000002,408.000000000000000,"1150000",VILLA URQUIZA,"12",446.685538581065998,524.424347657013982,7549229.122820289805532,"542",10060.637416099199982
"539",VTA,TERRENO,-34.615130299999997,-58.483777300000000,286.000000000000000,"330000",VILLA SANTA RITA,"11",2160.289092381559840,1769.348267805160049,7546506.661774319596589,"324",9461.259241980040315
"540",VTA,TERRENO,-34.655880300000000,-58.483733500000000,440.000000000000000,"250000",MATADEROS,"9",2458.030592018859807,2437.476719533100095,7543997.412015929818153,"198",11020.958805670399670
"541",VTA,TERRENO,-34.651840000000000,-58.483672300000002,100.000000000000000,"230000",PARQUE AVELLANEDA,"9",2229.462683311240198,2174.277260322930033,7544251.155996420420706,"208",10786.857085990799533
"542",VTA,TERRENO,-34.554682300000003,-58.483657999999998,129.000000000000000,"1000000",SAAVEDRA,"12",1955.927175019550077,319.744034082818985,7550244.531882430426776,"296",10820.815533697599676
"543",VTA,TERRENO,-34.574953000000001,-58.483653500000003,407.019999999999982,"2200000",VILLA URQUIZA,"12",260.351319751442986,384.990984548667996,7548994.246367169544101,"560",9886.573523994960851
"544",VTA,TERRENO,-34.556759200000002,-58.483629600000000,144.000000000000000,"260000",SAAVEDRA,"12",1954.333511389010027,433.672477257838977,7550118.550736039876938,"288",10704.901194686699455
"545",VTA,TERRENO,-34.570765100000003,-58.483585599999998,410.000000000000000,"1150000",VILLA URQUIZA,"12",470.554364706923991,495.558765693499993,7549257.784947610460222,"539",10039.624394256099549
"546",VTA,TERRENO,-34.566380600000002,-58.483526900000001,1812.000000000000000,"550000",VILLA URQUIZA,"12",918.852719617476055,473.591558463064018,7549532.760924560017884,"328",10221.096181639299175
